January 2011,,February 2011,,March 2011,,April 2011,,May 2011,,June 2011,,July 2011,,Auguest 2011,,September 2011,,October 2011,,November 2011,,December 2011,
Syria,10,Syria,8,Syria,27,Lebanon,2,Syria,101,Syria,601,Syria,93,Syria,196,Syria,89,Iran,2,Syria,69,Jordan,2
Australia,1,Iraq,6,Iraq,1,Iraq,2,Israel,9,Lebanon,32,Turkey,13,Lebanon,10,Jordan,4,Syria,78,Turkey,10,Syria,68
Iraq,2,Denmark,1,Libya,1,Libya,1,Iraq,5,Iraq,5,Lebanon,12,United Kingdom,5,Iraq,5,Lebanon,12,Lebanon,21,Lebanon,31
Israel,2,West Bank,1,Israel,3,Syria,3,Turkey,6,Tunisia,9,Israel,15,Israel,22,Lebanon,9,Northern Mariana Islands,1,Northern Mariana Islands,3,Turkey,2
,,Lebanon,1,Gaza Strip,1,United States,1,Pakistan,1,Turkey,393,Tunisia,1,Turkey,22,United Kingdom,2,United States,1,Libya,3,France,3
,,Kuwait,1,Kuwait,1,,,Jordan,6,Libya,9,Kuwait,2,United States,13,Turkey,14,Turkey,15,Morocco,6,Thailand,2
,,Kuwait,1,,,,,Lebanon,45,Israel,12,Jordan,5,Eritrea,1,Austria,3,Jordan,4,West Bank,1,Iraq,2
,,,,,,,,Egypt,1,France,6,India,1,Nigeria,1,Israel,2,Israel,3,China,1,New Zealand,3
,,,,,,,,Gaza Strip,1,Armenia,2,United States,3,Iraq,7,West Bank,1,Libya,3,,,Libya,2
,,,,,,,,United States,1,Russia,1,United Kingdom,2,Saudi Arabia,3,United States,3,,,,,Tunisia,1
,,,,,,,,,,United Arab Emirates,3,Germany,1,Gaza Strip,3,,,,,,,,
,,,,,,,,,,Switzerland,3,Iraq,3,Jordan,3,,,,,,,,
,,,,,,,,,,Germany,1,Russia,2,India,1,,,,,,,,
,,,,,,,,,,Afghanistan,8,,,Libya,4,,,,,,,,
,,,,,,,,,,Croatia,1,,,,,,,,,,,,
,,,,,,,,,,United Kingdom,2,,,,,,,,,,,,
,,,,,,,,,,Bahrain,1,,,,,,,,,,,,
,,,,,,,,,,Australia,1,,,,,,,,,,,,
,,,,,,,,,,Malta,7,,,,,,,,,,,,
,,,,,,,,,,United States,9,,,,,,,,,,,,
,,,,,,,,,,Iran,2,,,,,,,,,,,,
,,,,,,,,,,Egypt,2,,,,,,,,,,,,
,,,,,,,,,,Somalia,4,,,,,,,,,,,,
,,,,,,,,,,Cambodia,4,,,,,,,,,,,,
,,,,,,,,,,India,2,,,,,,,,,,,,
,,,,,,,,,,Canada,3,,,,,,,,,,,,
,,,,,,,,,,Greece,1,,,,,,,,,,,,
,,,,,,,,,,West Bank,2,,,,,,,,,,,,
,,,,,,,,,,Sri Lanka,1,,,,,,,,,,,,
,,,,,,,,,,Italy,1,,,,,,,,,,,,
