Jordan,3,Lebanon,3,Turkey,7,Syria,9,Yemen,1,Gaza Strip,1
,,,, ,, ,, ,, ,
Praise or endorse,,Provide economic aid,,Make empathetic comment,,Provide humanitarian aid,,Provide humanitarian aid,,Provide economic aid,
Host a visit,,Host a visit,,Make a visit,,"Return, release, not specified below",,,,,
Make a visit,,Make a visit,,Host a visit,,Host a visit,,,,,
,,,,"Threaten, not specified below",,Make a visit,,,,,
,,,,"Appeal, not specified below",,"Threaten, not specified below",,,,,
,,,,"Engage in material cooperation, not specified below",,"Appeal, not specified below",,,,,
,,,,Provide economic aid,,"Engage in material cooperation, not specified below",,,,,
,,,,,,"Make statement, not specified below",,,,,
,,,,,,"Yield, not specified below ",,,,,
