	,	,	,	,	,January 2011,


Syria	,13	,Australia	,2	,Iraq	,4	,Israel	,1	,Denmark	,1	,West Bank	,1	,Kuwait	,1	,
Physically assault  not specified below,,Return  release  not specified below,,Return  release person(s),,Demonstrate or rally,,Provide aid  not specified below,,Return  release  not specified below,,Arrest  detain  or charge with legal action ,,
Assassinate ,,Return  release  not specified below,,Engage in material cooperation  not specified below,,,,,,,,,,
Fight with small arms and light weapons,,,,Investigate  not specified below,,,,,,,,,,
Use conventional military force  not specified below,,,,Investigate  not specified below,,,,,,,,,,
Appeal to yield,,,,,,,,,,,,,,
Return  release person(s),,,,,,,,,,,,,,
Make a visit,,,,,,,,,,,,,,
Host a visit,,,,,,,,,,,,,,
Engage in material cooperation  not specified below,,,,,,,,,,,,,,
Praise or endorse,,,,,,,,,,,,,,
Demonstrate or rally,,,,,,,,,,,,,,
Demonstrate or rally,,,,,,,,,,,,,,
Praise or endorse,,,,,,,,,,,,,,


